,sal.code,wd.code16,House,Traditional,Flat,Cluster.house,Townhouse,Semi,House.in.backyard,BYS,Informal.dwelling.not.BYS,Flatlet,Caravan,Other,Unspecified,Not.applicable,areah,x1996,x1997,x1998,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,pred2012,pred2013,pred2014,pred2015,pred2016,pred2017,pred2018,pred2019,pred2020,pred2021,pred2022,pred2023,pred2024,pred2025,pred2026,pred2027,pred2028,pred2029,pred2030
354,5990354,59500092,87,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55669,4.449194501,0,0,0,0,4.333817803,18.2838141,36.78877928,59.87709058,87.65080908,120.2690343,157.9476135,200.892099,249.2722881,303.2375677,363.0140255,217.6313998,222.3812443,227.7984005,233.3654797,238.6757354,243.1312537,246.4871216,248.7588993,249.8698605,250.3804717,250.3018802,250.0485431,249.3668827,248.3280886,247.1804413,246.0088062,244.6628519,243.1636141,241.5032168
355,5990355,59500093,54,0,12,27,36,3,0,0,0,3,0,0,0,0,12.75,154.8000522,151.7434618,151.2584826,153.2715627,157.7230145,164.5670028,173.6353756,184.8968327,198.5102595,214.621221,233.3477836,254.8210087,279.1005928,306.2002783,336.133893,369.0142573,514.2855374,570.9623468,634.4576023,703.8625234,778.1767725,855.3204309,933.8828039,1013.167588,1092.005995,1172.030143,1248.234621,1246.97125,1243.571866,1238.391487,1232.668265,1226.825418,1220.113257,1212.636682,1204.35642
356,5990356,59500066,96,3,0,0,0,0,6,0,0,6,0,0,0,0,10.8242,230.7962634,212.8019041,199.0404589,189.3232146,183.4938445,181.4303693,182.9010091,187.8502518,196.4169729,208.7187401,224.852304,244.9400359,269.0503404,297.2198002,329.4924929,366.0141414,516.80294,581.6980022,655.5215104,737.500182,826.6992015,920.9508784,1018.689394,1053.164864,1057.868316,1060.030079,1059.697348,1058.6248,1055.73887,1051.340951,1046.482183,1041.521858,1035.823522,1029.476233,1022.446648
357,5990357,59500018,102,3,75,0,0,0,0,0,0,0,0,0,0,0,114.049,811.2626329,897.9758764,966.9570138,1019.016921,1054.661567,1074.1399,1076.668677,1062.300522,1032.042053,986.3779729,925.226118,848.2042677,754.4354185,642.8940251,512.6567844,363.0140255,245.3235004,2.918732457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,5990358,59500027,87,3,66,3,6,6,9,0,0,3,0,3,0,0,9.43656,397.7277498,437.9609908,471.6697738,499.1940617,520.7478104,536.4380743,545.8659643,549.0446598,546.4939757,538.5121706,525.1430453,506.308263,481.6749069,450.8156403,413.3427027,369.0142573,403.2842054,332.5541131,250.3710041,154.9690047,45.42876652,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,5990359,59500110,126,0,0,0,0,0,3,0,0,3,0,3,0,0,15.8106,423.4905855,410.8774838,399.8932709,390.4280191,382.3568546,375.552944,369.6099321,364.4686712,360.4197761,357.6259635,356.1283634,355.9426826,356.9610106,359.0345732,362.0482267,366.0141414,471.0861315,484.5058887,500.4000652,517.7193686,535.6251096,552.7993957,568.652992,583.1510755,596.015845,608.4791881,620.4937458,633.0216536,645.3761293,657.665282,670.4859625,684.0399344,697.8799628,712.014514,726.3677658
360,5990360,59500048,75,3,21,0,0,0,0,0,0,0,0,0,0,0,3.72583,417.3025582,413.7147546,410.3747495,407.2492498,404.2713287,401.3543733,398.0949506,394.4463917,390.73718,387.152714,383.7348655,380.4838876,377.2546137,373.8519645,370.1153,366.0141414,317.151316,324.0732007,331.9675496,340.0803794,347.8189437,354.3119108,359.2023719,362.513003,364.131992,364.8760988,364.7615684,349.3817304,327.2996215,304.0677083,280.0720364,255.4420341,230.0548656,203.9928993,177.3119487
361,5990361,59500014,45,0,0,0,0,0,0,6,6,87,0,3,0,0,7.11716,362.1759363,378.7353731,392.862526,404.6876158,414.273417,421.6290874,426.3945647,428.5532165,428.4914688,426.4397456,422.4546851,416.5241823,408.453679,397.9788949,384.8662395,369.0142573,18.94509635,19.35857649,19.83014698,20.31476847,20.77703313,21.1648918,21.45702446,21.65478566,21.75149628,21.79594565,0,0,0,0,0,0,0,0,0
362,5990362,59500027,63,3,99,0,0,0,3,12,0,0,0,3,0,0,3.47771,164.2081941,161.0310105,160.3309793,162.0356921,166.0848462,172.4307792,180.8971719,191.4521816,204.2597414,219.465569,237.1837424,257.5392629,280.5836503,306.3227933,334.7640328,366.0141414,508.2217641,562.3474999,623.0020604,676.5209802,691.9152853,704.8317271,714.5603083,721.1461378,724.3667882,725.8470379,725.6192029,724.8847847,722.9086674,719.897228,716.5702256,713.1736833,709.2717939,704.925539,700.1120867
363,5990363,59500026,0,0,3,0,0,0,0,0,0,0,0,0,0,0,50.9715,563.9246951,526.9727178,494.3088128,465.63605,440.670723,419.1592053,400.5756703,384.8200385,372.1633495,362.7291728,356.5239441,353.5469171,353.6962611,356.8506375,362.9360019,372.0143733,487.865664,513.5528108,545.0184964,581.3935695,621.9228613,665.1307995,710.1867776,756.8148735,804.3502678,854.1414621,905.9063359,960.8664055,1017.857634,1076.849689,1138.664928,1203.576651,1270.728728,1340.016545,1411.178235
