"","gridnumber","pop11","pop12","pop13","pop14","pop15","pop16","pop17","threshold","night1206","night1606","x2016_0.5","x2016_0.6","x2016_0.7","x2016_0.8","x2016_0.9","x2016_1.0","x2016_1.1","x2016_1.2","x2016_1.3","x2016_1.4","x2016_1.5","x2016_1.6","x2016_1.7","x2016_1.8","x2016_1.9","x2016_2.0"
"1197",1242,2484.0000669244,2145.000057791,1632.00004396966,1070.00002882814,458.000012339523,0,0,-0.167511182498731,11.7328462600708,10.6103067398071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1198",1243,2484.0000669244,2145.000057791,1632.00004396966,1070.00002882814,458.000012339523,0,0,0.375101875013965,14.3163175582886,24.4892177581787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1199",1244,2484.0000669244,2145.000057791,1632.00004396966,1070.00002882814,458.000012339523,0,0,0.168579208146336,16.3554668426514,26.82785987854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1200",1245,2324.40283620907,2005.66914500564,1525.99162920709,1000.49696277671,428.250101824048,0,0,0.128465513953292,15.6255226135254,15.7872018814087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1201",1246,107.75145590553,77.6499695425887,66.949928740421,54.9839692903001,41.8422643263953,32.3838672055513,34.1064133335061,-0.0538680506440171,25.2199573516846,27.6090240478516,30.6857993715414,31.4272624022815,31.9022061629463,32.2296690269137,32.405864257551,32.5008483511511,32.5854133626698,32.6394019527063,32.7245115605546,32.7274731621349,32.7553054994731,32.7632061960623,32.7633141964477,32.7634221975451,32.7635031988354,32.7635571999182
"1202",1247,142.558494187337,140.516838587366,151.646730005989,162.49318726401,173.59380162463,184.06899354804,193.889485976237,0.0381561783065699,26.1207714080811,28.7315483093262,174.417223572621,178.631678657775,181.331245681769,183.192535422498,184.194024175077,184.733911100906,185.214576256208,185.521445888794,186.005206514369,186.022040174745,186.180238400096,186.22514573807,186.225759609233,186.226373484444,186.226833893508,186.227140834149
"1203",1248,775.030469468485,880.80797298325,951.531614989079,1021.38424178452,1091.30182251873,1157.86525028892,1220.26846382348,0.204926869019792,17.8492794036865,22.711254119873,1097.15187948753,1123.66243402441,1140.64375601492,1152.35198927012,1158.6517413512,1162.04783918632,1165.07140915116,1167.00173797565,1170.04477964722,1170.15066988983,1171.14579798969,1171.42828253595,1171.43214402329,1171.43600553609,1171.43890168739,1171.44083246289
"1204",1249,321.809446658145,348.928455302069,376.961459745051,404.664664135764,432.367868526476,458.751872708107,483.486876628386,0.31498994240248,13.0862512588501,33.7952499389648,434.696938382539,445.200549694209,451.928632484724,456.567491739361,459.063484311961,460.409034876998,461.606988078621,462.371793795828,463.577461782855,463.619416014651,464.013690632772,464.125612391003,464.127142331166,464.128672281415,464.129819750721,464.130584733411
"1205",1250,108.72959511182,104.934441236029,118.241298060027,132.322128303426,147.140752021138,162.237822613282,177.54098018968,0.350710921531953,15.6038932800293,28.79807472229,153.730783404815,157.445390647118,159.824780394023,161.465315222663,162.348024208344,162.823878819246,163.247535550883,163.518009464263,163.944394533506,163.959231667959,164.098667078169,164.138248262331,164.138789326412,164.139330394061,164.139736197139,164.140006733639
"1206",1251,376.19378040713,414.138646654732,445.858303019502,511.732114078868,582.185665536308,655.077628788237,730.360524503705,-0.0252774263297282,16.8433704376221,17.3048400878906,620.728233666146,635.726931657598,645.334339894831,651.958428212708,655.522596542484,657.443983954716,659.154608781347,660.246717926874,661.968359129961,662.02826793975,662.591274866361,662.751094246626,662.753278934326,662.75546363643,662.75710217246,662.758194534314
"1207",1252,588.300199139945,720.194733079088,834.007278115709,973.600834323303,1124.22748918498,1282.94384234369,1449.19061576572,0.0576000212892577,16.827657699585,16.4504528045654,1215.67189925866,1245.04626099179,1263.86199319996,1276.83501035867,1283.81529423773,1287.5782561234,1290.92844775175,1293.06730067825,1296.4390674478,1296.55639650201,1297.65902348537,1297.97202347314,1297.97630209831,1297.98058075169,1297.98378976024,1297.98592910808
"1208",1253,579.906164943602,715.875926741337,833.194031488068,961.945648603435,1100.525537652,1246.25431966326,1398.61606381521,-0.0192650117713968,18.8935680389404,18.293888092041,1180.90621408391,1209.44053023167,1227.71817167482,1240.32018755385,1247.10084984758,1250.75619885815,1254.01058198135,1256.08826816745,1259.36360942773,1259.47758311528,1260.54867726269,1260.8527261025,1260.8568823679,1260.8610386607,1260.86415589829,1260.86623406524
"1209",1254,585.087567753161,586.974433018011,555.338000260389,518.206287363945,474.202043625364,463.231219065143,514.935443412585,-0.0318601985116838,24.4310531616211,24.1746444702148,438.941407480538,449.547578184035,456.341355339915,461.02550935745,463.545873307917,464.904562101658,466.114212361382,466.886485796777,468.103926170636,468.146290052063,468.544414447546,468.657429032531,468.65897391134,468.660518800334,468.661677473763,468.662449925899
"1210",1255,502.236198237701,364.09527043095,307.911665487213,244.344615254057,172.809211482299,125.076028192977,124.532860298658,-0.0189315229024094,27.8169116973877,27.5482292175293,118.517590346993,121.381338840903,123.215711456809,124.480469434779,125.160987283212,125.527843813768,125.854458782194,126.06297860988,126.391696969647,126.403135546776,126.510632226758,126.541147042764,126.541564172045,126.541981304076,126.542294154904,126.542502722983
"1211",1256,570.625875521286,470.394778253815,477.431969070984,483.110465587585,486.181866778444,493.409594007867,506.546603948324,-0.0230923961122602,36.5923500061035,39.3191375732422,467.537360921603,478.834497568291,486.070872601536,491.060187736052,493.744747200895,495.191951228844,496.480407228737,497.302992379604,498.599746000413,498.644869784552,499.068931005504,499.189308212824,499.190953736689,499.192599271402,499.193833429556,499.19465620505
"1212",1257,465.374777438007,526.127753818772,562.350671376171,599.343407888182,636.167927430212,670.678553670713,702.958818600612,-0.13164518386368,56.9826850891113,46.7433052062988,635.511114534435,650.867012268966,660.703224616792,667.485068137595,671.134118502625,673.101264492729,674.852628505449,675.970746648985,677.733389397391,677.794724958453,678.371140110875,678.534765650955,678.53700236783,678.539239099452,678.540916657846,678.542035034717
"1213",1258,510.880852406779,618.387644970422,705.769490312876,799.843498642236,900.512863447372,1004.91986083549,1111.39565334807,-0.168657998544952,85.3505325317383,74.46728515625,952.226274840611,975.234982260775,989.973197892728,1000.1348605996,1005.60246227694,1008.54996084209,1011.17413969842,1012.84948643949,1015.4905649349,1015.58246786388,1016.44614694171,1016.69131738001,1016.69466879359,1016.69802022927,1016.70053382052,1016.70220955493
"1214",1259,540.000014548783,686.000018482343,816.000021984828,958.000025810619,1112.00002995972,1275.00003435129,1444.00003890452,-0.165760019863016,81.1986465454102,71.8187408447266,1208.14462968479,1237.33710949775,1256.03633733607,1268.92902739551,1275.86609033766,1279.6057524921,1282.93520020466,1285.06080965439,1288.41169891791,1288.5283014871,1289.62410115912,1289.93516309494,1289.93941522747,1289.94366738803,1289.94685652685,1289.94898262815
"1215",1260,540.000014548783,686.000018482343,816.000021984828,958.000025810619,1112.00002995972,1275.00003435129,1444.00003890452,-0.097612672564779,57.6821899414062,48.0279235839844,1208.14462968479,1237.33710949775,1256.03633733607,1268.92902739551,1275.86609033766,1279.6057524921,1282.93520020466,1285.06080965439,1288.41169891791,1288.5283014871,1289.62410115912,1289.93516309494,1289.93941522747,1289.94366738803,1289.94685652685,1289.94898262815
"1216",1261,540.000014548783,686.000018482343,816.000021984828,958.000025810619,1112.00002995972,1275.00003435129,1444.00003890452,0.00957343114119347,34.9651298522949,35.1116256713867,1208.14462968479,1237.33710949775,1256.03633733607,1268.92902739551,1275.86609033766,1279.6057524921,1282.93520020466,1285.06080965439,1288.41169891791,1288.5283014871,1289.62410115912,1289.93516309494,1289.93941522747,1289.94366738803,1289.94685652685,1289.94898262815
"1217",1262,591.698116220079,725.104979078057,838.535063188503,962.63955399165,1096.75565496935,1237.88336618936,1384.34828075572,0.0198587063280827,23.6981983184814,24.9057750701904,1172.97419666245,1201.31685094063,1219.4717234724,1231.98909299399,1238.72421032335,1242.35500675584,1245.5875305448,1247.65126114084,1250.90460229339,1251.01781043219,1252.08171015777,1252.3837167349,1252.38784508312,1252.39197345856,1252.395069758,1252.39713396614
"1218",1263,607.802753864877,733.254266642019,837.069564821267,950.737765225252,1073.15052461032,1201.55536592329,1334.85186350422,0.105351114619865,17.0429954528809,22.0815906524658,1138.5510772537,1166.06196338612,1183.68404726253,1195.83407118781,1202.37153391512,1205.89577784244,1209.03343718111,1211.0366037469,1214.19446952471,1214.30435535916,1215.33703295948,1215.63017658933,1215.63418378346,1215.63819100401,1215.64119643676,1215.64320006685
"1219",1264,594.4241818248,720.924887990352,826.781017355246,942.658624225259,1066.63215578401,1197.52709989912,1333.20779903352,0.111974128311841,10.9303159713745,18.454381942749,1134.73403581611,1162.15269051997,1179.71569560253,1191.82498605022,1198.34053165266,1201.8529604007,1204.98010060154,1206.97655146528,1210.12383036231,1210.23334779978,1211.26256330404,1211.55472415727,1211.55871791711,1211.56271170328,1211.56570706019,1211.56770397302
"1220",1265,637.719841499855,781.308363273424,902.942604976147,1036.53112696008,1179.08916911045,1329.6319712704,1486.14429365991,0.122525231533093,11.8673677444458,19.1129932403564,1259.91190766112,1290.35524368796,1309.85570682681,1323.30083030669,1330.53513652324,1334.43503787878,1337.90714768743,1340.12383647696,1343.6183065765,1343.73990539984,1344.88265852828,1345.20704902536,1345.21148335572,1345.21591771531,1345.21924350418,1345.2214607059
"1221",1266,560.755025463873,679.60485646375,779.249150821367,888.098982047084,1004.08583782895,1127.14120580985,1254.33359841464,0.0642093449587125,12.0342874526978,17.2891159057617,1068.03886902517,1093.84596393533,1110.37668522596,1121.77423960102,1127.90682727062,1131.21280938553,1134.15614868616,1136.03525608514,1138.99755040927,1139.10063084605,1140.06935314437,1140.34434194122,1140.3481009637,1140.35186001096,1140.35467931266,1140.35655885488
"1222",1267,987.885659618599,1199.35696948154,1375.65168519212,1565.47584727338,1767.47651948541,1979.06544677043,2196.59556535749,0.0924539700040538,13.0906839370728,14.4497394561768,1875.29194266017,1920.60474779494,1949.62984167656,1969.64198028449,1980.40974593233,1986.21448001314,1991.38247589332,1994.68186420858,1999.88314183894,2000.06413329736,2001.76504248092,2002.2478753534,2002.25447554817,2002.26107578645,2002.26602599372,2002.2693261455
"1223",1268,1224.00003297724,1487.00004006304,1706.00004596338,1941.00005229479,2191.00005903034,2452.00006606225,2720.00007328276,0.0913212479230998,11.2890815734863,16.1231231689453,2323.42794665655,2379.56909214784,2415.53027384161,2440.32468641082,2453.66561059447,2460.85749420442,2467.26047913869,2471.34831786084,2477.79253784056,2478.0167805854,2480.12415375855,2480.72236855593,2480.7305459904,2480.73872347879,2480.74485663046,2480.74894541509
"1224",1269,1196.56222843262,1450.76977315165,1661.59588313964,1887.67087900346,2128.08312709073,2378.92099381682,2636.31702875962,0.110290487658686,14.7578544616699,20.5730934143066,2254.18082014915,2308.64874267275,2343.5381422604,2367.59358557243,2380.53689868921,2387.51443639061,2393.7265876438,2397.69259298372,2403.94475031875,2404.1623097637,2406.20687507706,2406.78726076301,2406.79519447835,2406.803128246,2406.80907860607,2406.81304552912
"1225",1270,783.818280469436,885.739351396024,950.526915783141,1017.02803195817,1084.52355753596,1151.42844237641,1216.49655355988,-0.0374566876089059,23.7201461791992,32.9996757507324,1091.05258952495,1117.4157665089,1134.30268588415,1145.94583069452,1152.21056117526,1155.58777941329,1158.59454073906,1160.51413847386,1163.5402632592,1163.64556483646,1164.63516081725,1164.91607497459,1164.91991499514,1164.923755041,1164.92663509202,1164.92855513394
"1226",1271,935.170267339088,994.964314676515,1041.31523329079,1088.22090355784,1133.5019435862,1175.89585284351,1214.64921706474,0.0243797660545321,29.95290184021,42.8167762756348,1114.23703639688,1141.16042072741,1158.40618062862,1170.2967377772,1176.69459136529,1180.14357418879,1183.21422803347,1185.17461648004,1188.26504525035,1188.37258444553,1189.38320895937,1189.67009243424,1189.67401405375,1189.67793569911,1189.68087695009,1189.68283779217
"1227",1272,1376.00951616948,1299.3713963962,1348.49030189862,1384.09728182258,1414.49401233582,1438.37745141152,1456.79934043166,0.0380911142655684,29.1487579345703,43.76171875,1362.95525220647,1395.88843148683,1416.98376243333,1431.52851080189,1439.3544830734,1443.57334234706,1447.32942265009,1449.72740588196,1453.50767523801,1453.63921916098,1454.87543366845,1455.22635481545,1455.23115181262,1455.23594884141,1455.23954663375,1455.24194517187
"1228",1273,1384.58841346903,1524.17860020486,1593.53113611185,1663.39310741305,1731.02636341591,1794.55454778118,1851.60943400057,0.15644111211129,24.0302333831787,38.1237983703613,1700.45598522775,1741.544217383,1767.86326322861,1786.00964358622,1795.77351614754,1801.03706716369,1805.72324392698,1808.71502588938,1813.4313815011,1813.59549888557,1815.13783004783,1815.57564777061,1815.58163262046,1815.58761750976,1815.59210620264,1815.59509867688
"1229",1274,1498.66891379316,1465.01207830112,1512.84462975866,1561.02558271548,1607.08141412003,1649.40450534617,1686.05742892086,0.217598679024185,23.7241268157959,29.2801475524902,1562.91697382247,1600.6818416095,1624.87210812876,1641.55074381279,1650.52487915583,1655.36269518706,1659.66983707683,1662.41963292666,1666.75451269078,1666.90535566943,1668.32293752612,1668.72534297285,1668.73084374646,1668.73634455634,1668.74047018755,1668.74322061969
"1230",1275,1525.60543812468,1681.14648617751,1784.82972271508,1896.16956769968,2013.1797768968,2128.50794602088,2144.80975008866,0.232677240494006,26.2329254150391,28.8737602233887,2016.89833328899,2065.63278314927,2096.84960978926,2118.37289802279,2129.95375543188,2136.19681456655,2141.75505434781,2145.30358492192,2150.89761961327,2151.09227803552,2152.92162567967,2153.44091805949,2153.44801664587,2153.45511527904,2153.46043928463,2153.46398863632
"1231",1276,1745.20166710146,1845.80592381836,1901.81439379783,1946.76129250506,1951.559671574,1950.56013144262,1942.92038878717,0.246233157847336,28.0769672393799,32.7377166748047,1848.2813209324,1892.94146660062,1921.54849979866,1941.27239512371,1951.88506809603,1957.60619414072,1962.69975319395,1965.95161902608,1971.0779804584,1971.25636502041,1972.93277529075,1973.40865371749,1973.41515884687,1973.42166401913,1973.42654292648,1973.42979554477
"1232",1277,1249.56265863884,1214.31039510884,1257.32519002891,1299.46944112168,1332.21385130016,1363.17027429421,1390.63693705124,0.0145944060684068,31.4813709259033,37.0343437194824,1291.69160930448,1322.90284039611,1342.89517832136,1356.67943822034,1364.09622076063,1368.09449224886,1371.6541816836,1373.92678367464,1377.50939741064,1377.63406341217,1378.80564105862,1379.13821390016,1379.14276008095,1379.14730629171,1379.15071596945,1379.15298909731
"1233",1278,604.435680753959,680.877637128413,724.805827175552,766.9235646595,811.964854871455,867.685942305486,920.721616329172,0.0891043798030747,8.54852390289307,10.9392976760864,822.188300553825,842.054891669358,854.780426328291,863.554391521766,868.275326293233,870.820308405354,873.086124011624,874.532681963527,876.81308935948,876.892441835873,877.63817512636,877.849864586464,877.852758324126,877.855652080866,877.857822410941,877.859269303619
"1234",1279,1503.11514837509,1273.94047915709,917.542304299999,510.028589783845,265.560858197443,279.940955125551,296.99637806177,0.0409785830233436,10.5743017196655,12.9382619857788,265.262080354251,271.671625813975,275.777256841533,278.607995564778,280.131107700833,280.952193635857,281.683212261412,282.149914319099,282.885640684335,282.911242122539,283.151837572378,283.220134806161,283.221068410873,283.222002021741,283.222702233932,283.223169043982
"1235",1280,754.325541776471,736.716147133483,666.016211651936,581.333332354713,548.809120938149,585.190010224771,619.817028879741,0.338078273295301,11.4236974716187,15.5816974639893,554.505215019822,567.903761764903,576.486193949283,582.403584713548,585.587506144665,587.303908399906,588.832033488896,589.807629867022,591.345596039217,591.399113417116,591.902055381031,592.044824269269,592.046775881355,592.048727506308,592.050191233467,592.051167055593
"1236",1281,1042.71200507172,928.306882744621,731.003472776396,503.959785453585,384.980922053073,410.107458106228,433.516308958496,0.607654058790884,15.7254161834717,23.6939849853516,1324.57759982751,1356.58345731641,404.007729973151,408.154701115091,410.386027525506,411.588900701202,412.659827212188,413.343535655224,414.421358903249,414.458864457737,414.811331599678,414.911385573309,414.912753284066,414.91412100384,414.915146799588,414.915830666238
"1237",1282,1437.28241105186,1170.89221866618,778.289145844062,331.794306781577,78.1919306712499,82.8367757873267,86.978856786477,0.747788428162171,13.3354253768921,26.7273464202881,270.602288223613,277.140869484675,281.32915432801,82.4423423532484,82.8930434607616,83.1360093800254,83.3523236594215,83.4904245446413,83.7081318819994,83.7157075530742,83.7869016780096,83.8071113777271,83.807387638856,83.8076639018062,83.8078711002141,83.8080092330552
"1238",1283,1016.22692464022,849.943625087041,597.229043330448,309.010905945791,147.506946172787,156.124190450923,163.727641284571,0.851474177041413,9.63053131103516,22.8499870300293,506.624424882466,518.866024880304,526.707375424408,532.113807341633,156.230239302778,156.688162213124,157.095854224706,157.356135829109,157.766453365942,157.780731390435,157.914912435204,157.953002075677,157.95352275076,157.954043429275,157.954433940415,157.954694282247
