Indicator,Region,Type,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
121,EThekwini Municipality,City,,,,,,,,,,,,,,,,,0,4,,,,
121,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,20,20,,,,
121,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,0,0,,,,
121,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,0,0,,,,
121,Mangaung Municipality,City,,,,,,,,,,,,,,,,,47,45,,,,
121,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
122,City of Johannesburg,City,,,,,,,,,,,,,,,,,42,4,,,,
122,City of Tshwane,City,,,,,,,,,,,,,,,,,41,145,,,,
122,City of Cape Town,City,,,,,,,,,,,,,,,,,77,102,,,,
122,EThekwini Municipality,City,,,,,,,,,,,,,,,,,0,250,,,,
122,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,86,83,,,,
122,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,194,0,,,,
122,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,8,3,,,,
122,Mangaung Municipality,City,,,,,,,,,,,,,,,,,31,30,,,,
122,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
123,City of Johannesburg,City,,,,,,,,,,,,,,,,,82,1,,,,
123,City of Tshwane,City,,,,,,,,,,,,,,,,,94,2607,,,,
123,City of Cape Town,City,,,,,,,,,,,,,,,,,208,363,,,,
123,EThekwini Municipality,City,,,,,,,,,,,,,,,,,0,303,,,,
123,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,428,359,,,,
123,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,119,0,,,,
123,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,37,28,,,,
123,Mangaung Municipality,City,,,,,,,,,,,,,,,,,236,254,,,,
123,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
124,City of Johannesburg,City,,,,,,,,,,,,,,,,,141,648,,,,
124,City of Tshwane,City,,,,,,,,,,,,,,,,,89,0,,,,
124,City of Cape Town,City,,,,,,,,,,,,,,,,,259,212,,,,
124,EThekwini Municipality,City,,,,,,,,,,,,,,,,,0,77,,,,
124,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,206,253,,,,
124,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,0,0,,,,
124,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,8,8,,,,
124,Mangaung Municipality,City,,,,,,,,,,,,,,,,,158,185,,,,
124,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
125,City of Johannesburg,City,,,,,,,,,,,,,,,,,276,276,,,,
125,City of Tshwane,City,,,,,,,,,,,,,,,,,22,6,,,,
125,City of Cape Town,City,,,,,,,,,,,,,,,,,73,95,,,,
125,EThekwini Municipality,City,,,,,,,,,,,,,,,,,0,0,,,,
125,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,121,127,,,,
125,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,119,0,,,,
125,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,22,35,,,,
125,Mangaung Municipality,City,,,,,,,,,,,,,,,,,3,3,,,,
125,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
126,City of Johannesburg,City,,,,,,,,,,,,,,,,,2672,2965,,,,
126,City of Tshwane,City,,,,,,,,,,,,,,,,,159,73,,,,
126,City of Cape Town,City,,,,,,,,,,,,,,,,,244,281,,,,
126,EThekwini Municipality,City,,,,,,,,,,,,,,,,,0,153,,,,
126,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,167,175,,,,
126,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,0,0,,,,
126,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,45,71,,,,
126,Mangaung Municipality,City,,,,,,,,,,,,,,,,,58,219,,,,
126,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
127,City of Johannesburg,City,,,,,,,,,,,,,,,,,0,38,,,,
127,City of Tshwane,City,,,,,,,,,,,,,,,,,34,0,,,,
127,City of Cape Town,City,,,,,,,,,,,,,,,,,61,49,,,,
127,EThekwini Municipality,City,,,,,,,,,,,,,,,,,0,264,,,,
127,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,0,0,,,,
127,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,0,0,,,,
127,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,32,36,,,,
127,Mangaung Municipality,City,,,,,,,,,,,,,,,,,211,279,,,,
127,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
128,City of Johannesburg,City,,,,,,,,,,,,,,,,,205,109,,,,
128,City of Tshwane,City,,,,,,,,,,,,,,,,,0,44,,,,
128,City of Cape Town,City,,,,,,,,,,,,,,,,,317,384,,,,
128,EThekwini Municipality,City,,,,,,,,,,,,,,,,,0,490,,,,
128,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,166,166,,,,
128,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,0,0,,,,
128,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,51,44,,,,
128,Mangaung Municipality,City,,,,,,,,,,,,,,,,,0,0,,,,
128,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
129,City of Johannesburg,City,,,,,,,,,,,,,,,,,160,98,,,,
129,City of Tshwane,City,,,,,,,,,,,,,,,,,442,69,,,,
129,City of Cape Town,City,,,,,,,,,,,,,,,,,62,39,,,,
129,EThekwini Municipality,City,,,,,,,,,,,,,,,,,0,209,,,,
129,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,305,132,,,,
129,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,362,0,,,,
129,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,97,122,,,,
129,Mangaung Municipality,City,,,,,,,,,,,,,,,,,129,146,,,,
129,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
130,City of Johannesburg,City,,,,,,,,,,,,,,,,,5713,6454,,,,
130,City of Tshwane,City,,,,,,,,,,,,,,,,,1135,5053,,,,
130,City of Cape Town,City,,,,,,,,,,,,,,,,,2174,2509,,,,
130,EThekwini Municipality,City,,,,,,,,,,,,,,,,,0,3580,,,,
130,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,2192,2139,,,,
130,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,1099,0,,,,
130,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,526,577,,,,
130,Mangaung Municipality,City,,,,,,,,,,,,,,,,,1596,2047,,,,
130,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
131,City of Johannesburg,City,,,,,,,,,,,,,,,,"1,107,068",,,,,,
131,City of Tshwane,City,,,,,,,,,,,,,,,,"736,009",,,,,,
131,City of Cape Town,City,,,,,,,,,,,,,,,,"1,134,144",,,,,,
131,EThekwini Municipality,City,,,,,,,,,,,,,,,,"990,263",,,,,,
131,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,"804,170",,,,,,
131,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,"369,366",,,,,,
131,Buffalo City Municipality,City,,,,,,,,,,,,,,,,"218,108",,,,,,
131,Mangaung Municipality,City,,,,,,,,,,,,,,,,"204,967",,,,,,
131,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
132,Western Cape,Province,,,,,,,,,,,,,,,,,,,"2,912,577",,,
132,Eastern Cape,Province,,,,,,,,,,,,,,,,,,,"3,202,037",,,
132,Northern Cape,Province,,,,,,,,,,,,,,,,,,,"591,965",,,
132,Free State,Province,,,,,,,,,,,,,,,,,,,"1,430,477",,,
132,KwaZulu-Natal,Province,,,,,,,,,,,,,,,,,,,"5,084,138",,,
132,North West,Province,,,,,,,,,,,,,,,,,,,"1,655,930",,,
132,Gauteng,Province,,,,,,,,,,,,,,,,,,,"5,995,369",,,
132,Mpumalanga,Province,,,,,,,,,,,,,,,,,,,"1,841,941",,,
132,Limpopo,Province,,,,,,,,,,,,,,,,,,,"2,423,990",,,
133,City of Johannesburg,City,,,,,,,,,,,,,,,864750.64,895534.5,926287.58,946452.25,,,,
133,City of Tshwane,City,,,,,,,,,,,,,,,539828.6,567560.87,606958.16,619654.37,,,,
133,City of Cape Town,City,,,,,,,,,,,,,,,807602.93,823633.44,842970.47,862158.71,,,,
133,EThekwini Municipality,City,,,,,,,,,,,,,,,553503.45,559003.76,568309.71,563250.28,,,,
133,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,549065.34,565809.71,560032.17,592339.12,,,,
133,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,241092.69,249145.9,248636.87,250312.48,,,,
133,Buffalo City Municipality,City,,,,,,,,,,,,,,,111610.9,114594.79,117436.95,119129.85,,,,
133,Mangaung Municipality,City,,,,,,,,,,,,,,,105810.34,108843.85,112345.72,115099.06,,,,
133,Msunduzi Municipality,City,,,,,,,,,,,,,,,75591.75,76032.03,75558.76,76384.12,,,,
134,City of Johannesburg,City,,,,,,,,,,,,,,,370818.94,371961.29,381104.35,384412.56,,,,
134,City of Tshwane,City,,,,,,,,,,,,,,,217754.03,218242.72,225897.21,223094.65,,,,
134,City of Cape Town,City,,,,,,,,,,,,,,,127990.29,124620.22,125970.68,127727.01,,,,
134,EThekwini Municipality,City,,,,,,,,,,,,,,,198895.15,200870.61,206514.8,202012.33,,,,
134,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,293478.62,294153.57,289525.34,303567.23,,,,
134,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,59872,56254.97,52343.61,50054.99,,,,
134,Buffalo City Municipality,City,,,,,,,,,,,,,,,40838.36,38640.83,37127.94,35658.04,,,,
134,Mangaung Municipality,City,,,,,,,,,,,,,,,96561.82,98074.45,101478.37,106106.25,,,,
134,Msunduzi Municipality,City,,,,,,,,,,,,,,,62214.71,64425.07,65880.78,69182.81,,,,
135,City of Johannesburg,City,,,,,,,,,,,,,,,68465.59,72129.67,77482.42,79085.5,,,,
135,City of Tshwane,City,,,,,,,,,,,,,,,39920.83,39051.63,39425.36,36728.28,,,,
135,City of Cape Town,City,,,,,,,,,,,,,,,69113.18,73757.58,75988.73,77367.6,,,,
135,EThekwini Municipality,City,,,,,,,,,,,,,,,91473.24,90438.81,95689.44,96782.59,,,,
135,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,68368.06,72453.77,74633.04,78724.63,,,,
135,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,25066.99,26153.37,27879.22,29805.87,,,,
135,Buffalo City Municipality,City,,,,,,,,,,,,,,,48241.72,50891.86,54904.33,58407.42,,,,
135,Mangaung Municipality,City,,,,,,,,,,,,,,,15170.36,15556.34,16073.27,16565.83,,,,
135,Msunduzi Municipality,City,,,,,,,,,,,,,,,7433.67,6972.36,7672.47,8836.22,,,,
136,City of Johannesburg,City,,,,,,,,,,,,,,,27523.83,24523.84,23275.96,20874.68,,,,
136,City of Tshwane,City,,,,,,,,,,,,,,,24247.83,18434.36,13494.99,9074.18,,,,
136,City of Cape Town,City,,,,,,,,,,,,,,,28838.98,25982.01,24439.55,23192.46,,,,
136,EThekwini Municipality,City,,,,,,,,,,,,,,,69383.91,63510,60272.05,52982.58,,,,
136,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,39649.13,37866.76,36959.92,36943.91,,,,
136,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,15420.23,13014.8,10377.39,8191.65,,,,
136,Buffalo City Municipality,City,,,,,,,,,,,,,,,26031.46,23478.27,20223.74,17119.67,,,,
136,Mangaung Municipality,City,,,,,,,,,,,,,,,7577.24,6157.01,5011.04,3963.8,,,,
136,Msunduzi Municipality,City,,,,,,,,,,,,,,,9016.44,8069.78,7382.89,6936.54,,,,
137,City of Johannesburg,City,,,,,,,,,,,,,,,30237.95,33667.53,36451.86,40424.38,,,,
137,City of Tshwane,City,,,,,,,,,,,,,,,44936.14,50191.2,55472.01,61032.25,,,,
137,City of Cape Town,City,,,,,,,,,,,,,,,8556.81,9772.96,10703.74,11643.17,,,,
137,EThekwini Municipality,City,,,,,,,,,,,,,,,50546.17,53984.11,58063.21,59378.1,,,,
137,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,19223.98,21719.62,22898.42,26692.11,,,,
137,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,6240.02,6569.73,6771.99,7332.45,,,,
137,Buffalo City Municipality,City,,,,,,,,,,,,,,,11670.97,11992.2,12242.75,13017.33,,,,
137,Mangaung Municipality,City,,,,,,,,,,,,,,,6935.45,7704.9,8219.52,8879.78,,,,
137,Msunduzi Municipality,City,,,,,,,,,,,,,,,9695.87,10173.56,9977.73,10151.17,,,,
138,City of Johannesburg,City,,,,,,,,,,,,,,,"1,255,590.78","1,293,917.40","1,338,178.14","1,360,266.62",,,,
138,City of Tshwane,City,,,,,,,,,,,,,,,"700,192.97","730,959.59","774,704.04","780,361.40",,,,
138,City of Cape Town,City,,,,,,,,,,,,,,,"989,987.32","1,012,744.19","1,038,588.76","1,058,178.60",,,,
138,EThekwini Municipality,City,,,,,,,,,,,,,,,"709,581.23","726,168.94","748,975.11","748,996.03",,,,
138,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,"865,387.76","893,112.34","891,429.98","944,292.35",,,,
138,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,"310,855.40","318,564.91","315,725.56","317,256.61",,,,
138,Buffalo City Municipality,City,,,,,,,,,,,,,,,"156,644.52","93,383.06","162,638.99",166593.8225,,,,
138,Mangaung Municipality,City,,,,,,,,,,,,,,,"150,024.73","156,525.66","163,821.15","170,182.45",,,,
138,Msunduzi Municipality,City,,,,,,,,,,,,,,,"93,093.79","160,044.16","93,294.79",97358.45,,,,
139,City of Johannesburg,City,,,,,,,,,,,,,,,"41,649.32","44,762.91","48,645.24","52,607.36",,,,
139,City of Tshwane,City,,,,,,,,,,,,,,,"20,368.84","20,055.75","20,065.18","20,143.30",,,,
139,City of Cape Town,City,,,,,,,,,,,,,,,"1,745.09","1,917.44","1,645.28","2,065.49",,,,
139,EThekwini Municipality,City,,,,,,,,,,,,,,,"94,753.94","90,342.88","89,049.24","76,741.85",,,,
139,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,"8,447.08","7,379.97","6,995.05","7,085.49",,,,
139,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,"2,822.97","2,809.97","2,629.78","2,370.28",,,,
139,Buffalo City Municipality,City,,,,,,,,,,,,,,,"20,819.32","40,339.88","23,887.65",23847.62892,,,,
139,Mangaung Municipality,City,,,,,,,,,,,,,,,"39,983.38","40,700.23","42,786.41","44,360.51",,,,
139,Msunduzi Municipality,City,,,,,,,,,,,,,,,"36,936.96","22,783.74","42,822.71",43357.11,,,,
140,City of Johannesburg,City,,,,,,,,,,,,,,,"35,021.16","33,968.35","35,711.23","36,595.11",,,,
140,City of Tshwane,City,,,,,,,,,,,,,,,"125,501.76","125,209.20","131,186.35","131,240.28",,,,
140,City of Cape Town,City,,,,,,,,,,,,,,,810.25,693.63,750.83,938.87,,,,
140,EThekwini Municipality,City,,,,,,,,,,,,,,,"125,406.80","118,827.52","119,115.89","115,746.66",,,,
140,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,"67,653.15","67,944.50","66,872.11","68,306.34",,,,
140,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,"7,605.89","6,486.89","6,385.95","6,057.32",,,,
140,Buffalo City Municipality,City,,,,,,,,,,,,,,,"33,812.96","28,129.22","32,267.36",31225.68713,,,,
140,Mangaung Municipality,City,,,,,,,,,,,,,,,"23,378.12","23,922.55","24,827.83","25,963.82",,,,
140,Msunduzi Municipality,City,,,,,,,,,,,,,,,"30,011.08","32,082.42","26,992.49",27526.95,,,,
141,City of Johannesburg,City,,,,,,,,,,,,,,,"10,847.45","11,303.96","12,150.42","13,262.70",,,,
141,City of Tshwane,City,,,,,,,,,,,,,,,"3,087.93","3,361.91","3,543.19","3,843.29",,,,
141,City of Cape Town,City,,,,,,,,,,,,,,,"18,723.64","18,332.11","19,213.73","21,130.47",,,,
141,EThekwini Municipality,City,,,,,,,,,,,,,,,"8,366.80","9,383.62","9,632.19","12,085.66",,,,
141,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,"7,256.61","8,652.03","9,540.76","11,410.95",,,,
141,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,"15,312.93","12,775.24","11,221.28","10,319.24",,,,
141,Buffalo City Municipality,City,,,,,,,,,,,,,,,"1,698.25",539.04,"1,571.20",1958.792424,,,,
141,Mangaung Municipality,City,,,,,,,,,,,,,,,"10,338.86","7,877.24","4,980.74","3,319.96",,,,
141,Msunduzi Municipality,City,,,,,,,,,,,,,,,489.48,"1,464.49",534.75,688.09,,,,
142,City of Johannesburg,City,,,,,,,,,,,,,,,"18,688.28","13,864.25","9,917.16","8,517.63",,,,
142,City of Tshwane,City,,,,,,,,,,,,,,,"17,535.95","13,894.34","11,749.01","13,995.47",,,,
142,City of Cape Town,City,,,,,,,,,,,,,,,"30,835.91","24,078.88","19,874.61","19,775.56",,,,
142,EThekwini Municipality,City,,,,,,,,,,,,,,,"25,692.31","23,083.50","22,076.79","20,835.71",,,,
142,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,"21,040.55","14,914.61","9,211.01","7,171.88",,,,
142,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,"10,995.00","10,389.62","10,051.67","9,709.27",,,,
142,Buffalo City Municipality,City,,,,,,,,,,,,,,,"25,386.53","3,281.49","21,572.61",19711.98387,,,,
142,Mangaung Municipality,City,,,,,,,,,,,,,,,"8,330.13","7,310.87","6,711.80","6,787.99",,,,
142,Msunduzi Municipality,City,,,,,,,,,,,,,,,"3,421.03","23,187.04","2,827.90",2560.26,,,,
143,City of Johannesburg,City,,,,,,,,,,,,,,,32508.35,37190.25,37217.15,38737.11,,,,
143,City of Tshwane,City,,,,,,,,,,,,,,,34660.74,39564.29,40210.94,41390.15,,,,
143,City of Cape Town,City,,,,,,,,,,,,,,,40285.6,43386.31,47897.6,55758.3,,,,
143,EThekwini Municipality,City,,,,,,,,,,,,,,,20293.13,19756.79,19876.83,19399.4,,,,
143,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,43204.36,49268.83,50532.51,58895.34,,,,
143,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,10302.62,9860.65,10230.26,11252.25,,,,
143,Buffalo City Municipality,City,,,,,,,,,,,,,,,18732.56,17976.37,19169.78,21223.82,,,,
143,Mangaung Municipality,City,,,,,,,,,,,,,,,13027.27,11411.48,9466.11,7851.3,,,,
143,Msunduzi Municipality,City,,,,,,,,,,,,,,,8356.68,8393.45,9157.56,10633.52,,,,
144,City of Johannesburg,City,,,,,,,,,,,,,,,1187975.65,1218575.29,1256656.65,1272347.84,,,,
144,City of Tshwane,City,,,,,,,,,,,,,,,705279.47,731963.99,770874.82,772951.74,,,,
144,City of Cape Town,City,,,,,,,,,,,,,,,945084.56,958233.91,979991.56,999196.55,,,,
144,EThekwini Municipality,City,,,,,,,,,,,,,,,836870.57,848197.77,873771.01,867330.71,,,,
144,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,733866.32,748263.98,734890.47,763334.65,,,,
144,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,298438.48,306030.15,303832.18,305351.59,,,,
144,Buffalo City Municipality,City,,,,,,,,,,,,,,,166260.37,172418.44,176448.61,179140.23,,,,
144,Mangaung Municipality,City,,,,,,,,,,,,,,,201287.8,207917.35,217367.26,226125.74,,,,
144,Msunduzi Municipality,City,,,,,,,,,,,,,,,141749.04,143963.23,143844.65,146610.14,,,,
145,City of Johannesburg,City,,,,,,,,,,,,,,,141312.95,142051.29,150728.36,160164.43,,,,
145,City of Tshwane,City,,,,,,,,,,,,,,,126747.21,121952.49,130161.97,135241.84,,,,
145,City of Cape Town,City,,,,,,,,,,,,,,,56732.02,56145.99,52184.01,47134.11,,,,
145,EThekwini Municipality,City,,,,,,,,,,,,,,,106637.52,99852.07,95201.36,87675.77,,,,
145,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,192714.44,194470.61,198625.91,216036.99,,,,
145,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,38941.31,35235.15,31952.14,29100.57,,,,
145,Buffalo City Municipality,City,,,,,,,,,,,,,,,53396.6,49198.08,46319.54,42971.06,,,,
145,Mangaung Municipality,City,,,,,,,,,,,,,,,17740.15,17007.71,16294.55,16637.69,,,,
145,Msunduzi Municipality,City,,,,,,,,,,,,,,,13846.61,13316.02,13470.42,14247.2,,,,
146,City of Johannesburg,City,,,,,,,,,,,,,,,1285817.5,1326106.8,1375248.1,1403286.6,,,,
146,City of Tshwane,City,,,,,,,,,,,,,,,699453.8,724373.6,768840,780493.1,,,,
146,City of Cape Town,City,,,,,,,,,,,,,,,976832.2,987780.4,1006557.2,1024437.7,,,,
146,EThekwini Municipality,City,,,,,,,,,,,,,,,833710.7,838363.6,854073,842903.6,,,,
146,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,856921.3,875500.9,870687.1,920007.1,,,,
146,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,249484.2,253219.5,251582,253555,,,,
146,Buffalo City Municipality,City,,,,,,,,,,,,,,,157675,159669.5,163525,165838.3,,,,
146,Mangaung Municipality,City,,,,,,,,,,,,,,,187621.1,192540.1,198759.3,204548.9,,,,
146,Msunduzi Municipality,City,,,,,,,,,,,,,,,90783,89945.8,88165.8,90948.2,,,,
147,City of Johannesburg,City,,,,,,,,,,,,,,,19552.3,19590,19975,21396.6,,,,
147,City of Tshwane,City,,,,,,,,,,,,,,,10720.4,10354.7,10222.6,9898.5,,,,
147,City of Cape Town,City,,,,,,,,,,,,,,,5266.1,5163.9,5837.8,6940.8,,,,
147,EThekwini Municipality,City,,,,,,,,,,,,,,,13904.5,14026.1,14945.7,16648.6,,,,
147,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,7774.8,8373.3,8016.8,8736.8,,,,
147,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,68651.3,69505,66585.8,63032.2,,,,
147,Buffalo City Municipality,City,,,,,,,,,,,,,,,5384.2,5238.4,5019.8,4721.4,,,,
147,Mangaung Municipality,City,,,,,,,,,,,,,,,5346.7,5581.8,5504,5585.9,,,,
147,Msunduzi Municipality,City,,,,,,,,,,,,,,,2372.2,2282.8,2371.3,2739.3,,,,
148,City of Johannesburg,City,,,,,,,,,,,,,,,23800.8,23005.2,22637,22274.5,,,,
148,City of Tshwane,City,,,,,,,,,,,,,,,25609.9,26850.3,27538.4,27242.5,,,,
148,City of Cape Town,City,,,,,,,,,,,,,,,43086.4,48446.5,51727.7,54885.4,,,,
148,EThekwini Municipality,City,,,,,,,,,,,,,,,13086.3,13847.5,14984.5,15847.6,,,,
148,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,27306,27211.4,26315.8,26940.7,,,,
148,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,8990.3,9475.3,10307.2,12643.8,,,,
148,Buffalo City Municipality,City,,,,,,,,,,,,,,,7149,8366,9308,11332.5,,,,
148,Mangaung Municipality,City,,,,,,,,,,,,,,,5876.8,5478.6,5410.4,5401.2,,,,
148,Msunduzi Municipality,City,,,,,,,,,,,,,,,2725.6,2743.5,2806.9,3046.8,,,,
149,City of Johannesburg,City,,,,,,,,,,,,,,,20144.6,18847.9,17679.3,16401.9,,,,
149,City of Tshwane,City,,,,,,,,,,,,,,,93972.7,97876.4,102045.7,101333.9,,,,
149,City of Cape Town,City,,,,,,,,,,,,,,,11301.8,11379.5,11277,11336.8,,,,
149,EThekwini Municipality,City,,,,,,,,,,,,,,,91701.7,90863.4,94520.7,89790.5,,,,
149,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,47279.3,51957.9,52366.4,57632.5,,,,
149,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,13507.5,12766.5,12305.8,12074.4,,,,
149,Buffalo City Municipality,City,,,,,,,,,,,,,,,61276.9,59999.3,58170.8,55785.1,,,,
149,Mangaung Municipality,City,,,,,,,,,,,,,,,24960.1,24521.3,24744,25656.6,,,,
149,Msunduzi Municipality,City,,,,,,,,,,,,,,,63558.3,66051.8,68731.6,70611.6,,,,
150,City of Johannesburg,City,,,,,,,,,,,,,,,12481.7,10266.9,9062.7,7889.9,,,,
150,City of Tshwane,City,,,,,,,,,,,,,,,36930.6,34025.8,32601.2,30615.8,,,,
150,City of Cape Town,City,,,,,,,,,,,,,,,5615.6,4995.9,4673.6,4488.4,,,,
150,EThekwini Municipality,City,,,,,,,,,,,,,,,11389.7,10698.5,10324.2,9224.3,,,,
150,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,30503.7,28959.9,26662.9,24949.9,,,,
150,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,7023.4,6143.7,5241,4406.9,,,,
150,Buffalo City Municipality,City,,,,,,,,,,,,,,,6895.1,6313.9,5917,5661,,,,
150,Mangaung Municipality,City,,,,,,,,,,,,,,,8250.5,8214.8,8710.2,9422.1,,,,
150,Msunduzi Municipality,City,,,,,,,,,,,,,,,4513,4648.6,4397.1,4145,,,,
151,Western Cape,Province,,,,,,,,,,,,,,,,,212,,,,,
151,Eastern Cape,Province,,,,,,,,,,,,,,,,,719,,,,,
151,Northern Cape,Province,,,,,,,,,,,,,,,,,128,,,,,
151,Free State,Province,,,,,,,,,,,,,,,,,214,,,,,
151,KwaZulu-Natal,Province,,,,,,,,,,,,,,,,,556,,,,,
151,North West,Province,,,,,,,,,,,,,,,,,256,,,,,
151,Gauteng,Province,,,,,,,,,,,,,,,,,321,,,,,
151,Mpumalanga,Province,,,,,,,,,,,,,,,,,233,,,,,
151,Limpopo,Province,,,,,,,,,,,,,,,,,436,,,,,
152,City of Johannesburg,City,,,,,,,,,,,,,,,,,,,,,,
152,City of Tshwane,City,,,,,,,,,,,,,,,,,,,,,,
152,City of Cape Town,City,,,,,,,,,,,,,,,,,,,,,,
152,EThekwini Municipality,City,,,,,,,,,,,,,,,,,,,,,,
152,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,,,,,,
152,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,,,,,,
152,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,,,,,,
152,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,,,,,
152,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
153,City of Johannesburg,City,27.67%,,,,,27.28%,,,,,,23.34%,,,,21.39%,,,,,,
153,City of Tshwane,City,25.71%,,,,,30.71%,,,,,,36.55%,,,,22.31%,,,,,,
153,City of Cape Town,City,24.23%,,,,,23.85%,,,,,,18.66%,,,,26.12%,,,,,,
153,EThekwini Municipality,City,30.91%,,,,,26.26%,,,,,,22.47%,,,,19.74%,,,,,,
153,Ekurhuleni Municipality,City,41.48%,,,,,40.89%,,,,,,35.37%,,,,27.76%,,,,,,
153,Nelson Mandela Bay Municipality,City,37.73%,,,,,30.48%,,,,,,16.06%,,,,13.75%,,,,,,
153,Buffalo City Municipality,City,42.81%,,,,,45.59%,,,,,,34.57%,,,,30.73%,,,,,,
153,Mangaung Municipality,City,32.10%,,,,,33.02%,,,,,,23.15%,,,,16.87%,,,,,,
153,Msunduzi Municipality,City,12.25%,,,,,18.12%,,,,,,3.74%,,,,11.17%,,,,,,
